timestamp,player,prop_type,line_value,book,over_odds,under_odds
2026-04-01T06:20:40Z,Tre Johnson,Points,12.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Alex Sarr,Points,12.5,fanduel,-132,100
2026-04-01T06:20:40Z,Paul George,Points Assists,21.5,fanduel,-104,-128
2026-04-01T06:20:40Z,Tre Johnson,Points Assists,14.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Bilal Coulibaly,Points Assists,14.5,fanduel,-122,-108
2026-04-01T06:20:40Z,Tyrese Maxey,Points Assists,32.5,fanduel,-122,-108
2026-04-01T06:20:40Z,Kelly Oubre Jr,Points Assists,13.5,fanduel,-108,-122
2026-04-01T06:20:40Z,Quentin Grimes,Points Assists,15.5,fanduel,-118,-110
2026-04-01T06:20:40Z,Joel Embiid,Points Assists,32.5,fanduel,-120,-110
2026-04-01T06:20:40Z,VJ Edgecombe,Points Assists,18.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Carlton Carrington,Points Assists,16.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Dominick Barlow,Points Rebounds,10.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Joel Embiid,Points Rebounds,37.5,fanduel,-110,-120
2026-04-01T06:20:40Z,VJ Edgecombe,Points Rebounds,20.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Tyrese Maxey,Points Rebounds,29.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Carlton Carrington,Points Rebounds,14.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Bilal Coulibaly,Points Rebounds,16.5,fanduel,-110,-120
2026-04-01T06:20:40Z,Quentin Grimes,Points Rebounds,16.5,fanduel,-102,-130
2026-04-01T06:20:40Z,Paul George,Points Rebounds,23.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Tre Johnson,Points Rebounds,15.5,fanduel,-104,-128
2026-04-01T06:20:40Z,Kelly Oubre Jr,Points Rebounds,16.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Alex Sarr,Points Rebounds,18.5,fanduel,-118,-112
2026-04-01T06:20:40Z,VJ Edgecombe,Points Rebounds Assists,24.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Kelly Oubre Jr,Points Rebounds Assists,18.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Quentin Grimes,Points Rebounds Assists,19.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Tyrese Maxey,Points Rebounds Assists,37.5,fanduel,-104,-128
2026-04-01T06:20:40Z,Joel Embiid,Points Rebounds Assists,41.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Paul George,Points Rebounds Assists,27.5,fanduel,-110,-120
2026-04-01T06:20:40Z,Bilal Coulibaly,Points Rebounds Assists,18.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Tre Johnson,Points Rebounds Assists,17.5,fanduel,-112,-118
2026-04-01T06:20:40Z,Carlton Carrington,Points Rebounds Assists,20.5,fanduel,-102,-130
2026-04-01T06:20:40Z,Dominick Barlow,Rebounds,4.5,fanduel,-110,-120
2026-04-01T06:20:40Z,Paul George,Rebounds,6.5,fanduel,118,-158
2026-04-01T06:20:40Z,Alex Sarr,Rebounds,5.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Quentin Grimes,Rebounds,3.5,fanduel,-144,108
2026-04-01T06:20:40Z,Kelly Oubre Jr,Rebounds,5.5,fanduel,122,-162
2026-04-01T06:20:40Z,Joel Embiid,Rebounds,8.5,fanduel,-128,-104
2026-04-01T06:20:40Z,Tyrese Maxey,Rebounds,4.5,fanduel,134,-180
2026-04-01T06:20:40Z,VJ Edgecombe,Rebounds,5.5,fanduel,-138,104
2026-04-01T06:20:40Z,Paul George,Steals,1.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Tyrese Maxey,Steals,1.5,fanduel,-138,104
2026-04-01T06:20:40Z,Kelly Oubre Jr,Threes,1.5,fanduel,132,-178
2026-04-01T06:20:40Z,Carlton Carrington,Threes,1.5,fanduel,-146,110
2026-04-01T06:20:40Z,Quentin Grimes,Threes,1.5,fanduel,114,-152
2026-04-01T06:20:40Z,VJ Edgecombe,Threes,1.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Joel Embiid,Threes,1.5,fanduel,106,-140
2026-04-01T06:20:40Z,Bilal Coulibaly,Threes,1.5,fanduel,194,-270
2026-04-01T06:20:40Z,Tre Johnson,Threes,1.5,fanduel,-154,116
2026-04-01T06:20:40Z,Tyrese Maxey,Threes,2.5,fanduel,-180,132
2026-04-01T06:20:40Z,Will Riley,Threes,1.5,fanduel,118,-158
2026-04-01T06:20:40Z,Paul George,Threes,2.5,fanduel,-138,104
2026-04-01T06:20:40Z,Tyrese Maxey,Assists,7.5,draftkings,111,-146
2026-04-01T06:20:40Z,Carlton Carrington,Assists,4.5,draftkings,-156,118
2026-04-01T06:20:40Z,Joel Embiid,Assists,4.5,draftkings,108,-143
2026-04-01T06:20:40Z,Paul George,Assists,4.5,draftkings,109,-144
2026-04-01T06:20:40Z,VJ Edgecombe,Assists,4.5,draftkings,124,-164
2026-04-01T06:20:40Z,Quentin Grimes,Assists,3.5,draftkings,-101,-131
2026-04-01T06:20:40Z,Bilal Coulibaly,Assists,2.5,draftkings,-117,-112
2026-04-01T06:20:40Z,Alex Sarr,Assists,2.5,draftkings,-101,-130
2026-04-01T06:20:40Z,Tre Johnson,Assists,2.5,draftkings,131,-173
2026-04-01T06:20:40Z,Kelly Oubre Jr,Assists,1.5,draftkings,-113,-117
2026-04-01T06:20:40Z,Joel Embiid,Points,27.5,draftkings,-117,-109
2026-04-01T06:20:40Z,Tyrese Maxey,Points,25.5,draftkings,-118,-108
2026-04-01T06:20:40Z,Paul George,Points,16.5,draftkings,-126,-101
2026-04-01T06:20:40Z,VJ Edgecombe,Points,14.5,draftkings,-115,-111
2026-04-01T06:20:40Z,Will Riley,Points,13.5,draftkings,-125,-102
2026-04-01T06:20:40Z,Alex Sarr,Points,13.5,draftkings,-112,-114
2026-04-01T06:20:40Z,Tre Johnson,Points,12.5,draftkings,-122,-104
2026-04-01T06:20:40Z,Bilal Coulibaly,Points,12.5,draftkings,-108,-118
2026-04-01T06:20:40Z,Quentin Grimes,Points,12.5,draftkings,-101,-126
2026-04-01T06:20:40Z,Kelly Oubre Jr,Points,11.5,draftkings,-111,-115
2026-04-01T06:20:40Z,Carlton Carrington,Points,11.5,draftkings,-104,-122
2026-04-01T06:20:40Z,Dominick Barlow,Points,5.5,draftkings,-136,107
2026-04-01T06:20:40Z,Tyrese Maxey,Points Assists,33.5,draftkings,-108,-121
2026-04-01T06:20:40Z,Joel Embiid,Points Assists,32.5,draftkings,-108,-121
2026-04-01T06:20:40Z,Paul George,Points Assists,21.5,draftkings,-111,-119
2026-04-01T06:20:40Z,VJ Edgecombe,Points Assists,18.5,draftkings,-123,-107
2026-04-01T06:20:40Z,Carlton Carrington,Points Assists,16.5,draftkings,-114,-115
2026-04-01T06:20:40Z,Alex Sarr,Points Assists,16.5,draftkings,-102,-129
2026-04-01T06:20:40Z,Quentin Grimes,Points Assists,15.5,draftkings,-115,-114
2026-04-01T06:20:40Z,Bilal Coulibaly,Points Assists,15.5,draftkings,-107,-123
2026-04-01T06:20:40Z,Tre Johnson,Points Assists,15.5,draftkings,-105,-126
2026-04-01T06:20:40Z,Kelly Oubre Jr,Points Assists,13.5,draftkings,-105,-126
2026-04-01T06:20:40Z,Dominick Barlow,Points Assists,6.5,draftkings,-129,-102
2026-04-01T06:20:40Z,Joel Embiid,Points Rebounds,36.5,draftkings,-114,-116
2026-04-01T06:20:40Z,Tyrese Maxey,Points Rebounds,29.5,draftkings,-123,-107
2026-04-01T06:20:40Z,Paul George,Points Rebounds,23.5,draftkings,-105,-125
2026-04-01T06:20:40Z,VJ Edgecombe,Points Rebounds,20.5,draftkings,-114,-115
2026-04-01T06:20:40Z,Alex Sarr,Points Rebounds,19.5,draftkings,-108,-122
2026-04-01T06:20:40Z,Kelly Oubre Jr,Points Rebounds,16.5,draftkings,-123,-107
2026-04-01T06:20:40Z,Bilal Coulibaly,Points Rebounds,16.5,draftkings,-116,-114
2026-04-01T06:20:40Z,Quentin Grimes,Points Rebounds,15.5,draftkings,-127,-104
2026-04-01T06:20:40Z,Tre Johnson,Points Rebounds,15.5,draftkings,-119,-110
2026-04-01T06:20:40Z,Carlton Carrington,Points Rebounds,14.5,draftkings,-112,-117
2026-04-01T06:20:40Z,Dominick Barlow,Points Rebounds,10.5,draftkings,-114,-115
2026-04-01T06:20:40Z,Joel Embiid,Points Rebounds Assists,40.5,draftkings,-123,-107
2026-04-01T06:20:40Z,Tyrese Maxey,Points Rebounds Assists,37.5,draftkings,-109,-121
2026-04-01T06:20:40Z,Paul George,Points Rebounds Assists,27.5,draftkings,-114,-116
2026-04-01T06:20:40Z,VJ Edgecombe,Points Rebounds Assists,24.5,draftkings,-120,-110
2026-04-01T06:20:40Z,Alex Sarr,Points Rebounds Assists,21.5,draftkings,-121,-109
2026-04-01T06:20:40Z,Carlton Carrington,Points Rebounds Assists,19.5,draftkings,-118,-111
2026-04-01T06:20:40Z,Quentin Grimes,Points Rebounds Assists,19.5,draftkings,-114,-115
2026-04-01T06:20:40Z,Bilal Coulibaly,Points Rebounds Assists,19.5,draftkings,-112,-118
2026-04-01T06:20:40Z,Tre Johnson,Points Rebounds Assists,18.5,draftkings,-103,-128
2026-04-01T06:20:40Z,Joel Embiid,Rebounds,8.5,draftkings,-118,-112
2026-04-01T06:20:40Z,Paul George,Rebounds,5.5,draftkings,-136,103
2026-04-01T06:20:40Z,VJ Edgecombe,Rebounds,5.5,draftkings,-126,-104
2026-04-01T06:20:40Z,Alex Sarr,Rebounds,5.5,draftkings,-123,-107
2026-04-01T06:20:40Z,Kelly Oubre Jr,Rebounds,5.5,draftkings,115,-151
2026-04-01T06:20:40Z,Dominick Barlow,Rebounds,4.5,draftkings,-108,-122
2026-04-01T06:20:40Z,Bilal Coulibaly,Rebounds,3.5,draftkings,-164,124
2026-04-01T06:20:40Z,Tyrese Maxey,Rebounds,3.5,draftkings,-159,120
2026-04-01T06:20:40Z,Quentin Grimes,Rebounds,3.5,draftkings,-123,-107
2026-04-01T06:20:40Z,Carlton Carrington,Rebounds,3.5,draftkings,126,-166
2026-04-01T06:20:40Z,Tre Johnson,Rebounds,2.5,draftkings,-131,-101
2026-04-01T06:20:40Z,Tyrese Maxey,Threes,2.5,draftkings,-167,126
2026-04-01T06:20:40Z,Paul George,Threes,2.5,draftkings,-118,-111
2026-04-01T06:20:40Z,Tre Johnson,Threes,1.5,draftkings,-172,130
2026-04-01T06:20:40Z,Carlton Carrington,Threes,1.5,draftkings,-158,120
2026-04-01T06:20:40Z,VJ Edgecombe,Threes,1.5,draftkings,-103,-127
2026-04-01T06:20:40Z,Joel Embiid,Threes,1.5,draftkings,113,-149
2026-04-01T06:20:40Z,Will Riley,Threes,1.5,draftkings,120,-158
2026-04-01T06:20:40Z,Quentin Grimes,Threes,1.5,draftkings,139,-184
2026-04-01T06:20:40Z,Bilal Coulibaly,Threes,1.5,draftkings,158,-211
2026-04-01T06:20:40Z,Kelly Oubre Jr,Threes,1.5,draftkings,164,-219
2026-04-01T06:20:40Z,Alex Sarr,Threes,0.5,draftkings,-235,176
2026-04-01T06:20:40Z,Jaylen Brown,Assists,5.5,fanduel,114,-152
2026-04-01T06:20:40Z,Jaime Jaquez Jr,Assists,4.5,fanduel,114,-152
2026-04-01T06:20:40Z,Pelle Larsson,Assists,3.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Payton Pritchard,Assists,4.5,fanduel,-158,118
2026-04-01T06:20:40Z,Bam Adebayo,Assists,3.5,fanduel,124,-166
2026-04-01T06:20:40Z,Andrew Wiggins,Assists,2.5,fanduel,130,-174
2026-04-01T06:20:40Z,Derrick White,Assists,4.5,fanduel,-162,122
2026-04-01T06:20:40Z,Jayson Tatum,Assists,4.5,fanduel,-166,124
